Perceptron Bipolarny;
0.5;359.96;388.593;279.986;372.338;311.842;401.472;374.928;477.502;321.148;323.618;402.973;198.521;=ŒREDNIA(B102:M102);
0.4;346.141;349.5;181.754;343.988;474.902;290.894;415.184;455.477;411.601;191.25;261.238;242.868;=ŒREDNIA(B103:M103);
0.3;60.9075;90.3076;93.5544;38.4956;47.1556;69.7275;39.9524;101.098;78.7556;68.1475;103.666;95.0651;=ŒREDNIA(B104:M104);
0.25;36.2899;40.7956;34.7744;27.2979;37.0744;23.2179;28.4371;32.2524;26.88;29.3304;19.1699;28.9979;=ŒREDNIA(B105:M105);
0.2;3.78;3.1624;2.2204;3.9659;3.2075;4.4504;2.7964;4.3531;3.6436;4.7296;3.1859;4.1096;=ŒREDNIA(B106:M106);
0.15;0.1411;0.1539;0.1539;0.1824;0.1875;0.1275;0.1344;0.1771;0.1716;0.1659;0.2016;0.1771;=ŒREDNIA(B107:M107);
0.1;0.2436;0.2331;0.2304;0.1344;0.1056;0.1131;0.0196;0.0099;4.43734e-31;4.43734e-31;4.43734e-31;4.43734e-31;=ŒREDNIA(B108:M108);
0.05;0.8475;0.7636;0.9211;0.6616;0.5099;0.4699;0.3371;0.2696;0.1539;4.43734e-31;4.43734e-31;4.43734e-31;=ŒREDNIA(B109:M109);
0.04;1.2859;1.3;1.0699;0.9811;0.82;0.7139;0.5899;0.3539;0.24;0.0196;4.43734e-31;4.43734e-31;=ŒREDNIA(B110:M110);
0.03;2.8931;2.5459;2.1579;1.6276;1.4236;1.4996;1.0411;0.7075;0.4819;0.1716;4.43734e-31;4.43734e-31;=ŒREDNIA(B111:M111);
0.02;5.3699;5.9739;5.2739;4.9339;3.6979;2.81;2.39;1.8011;0.9811;0.3356;0.1056;4.43734e-31;=ŒREDNIA(B112:M112);
0.01;30.05;25.7299;21.32;16.0024;15.9771;14.9179;11.4864;8.0964;4.5619;1.3324;0.4716;4.43734e-31;=ŒREDNIA(B113:M113);
Srednia:;=ŒREDNIA(B98:B113);=ŒREDNIA(C98:C113);=ŒREDNIA(D98:D113);=ŒREDNIA(E98:E113);=ŒREDNIA(F98:F113);=ŒREDNIA(G98:G113);=ŒREDNIA(H98:H113);=ŒREDNIA(I98:I113);=ŒREDNIA(J98:J113);=ŒREDNIA(K98:K113);=ŒREDNIA(L98:L113);=ŒREDNIA(M98:M113);=ŒREDNIA(N98:N113);
Perceptron Adaline Unipolarny;
ucz/max;1;0.9;0.8;0.7;0.6;0.5;0.4;0.3;0.2;0.1;0.05;0.01;Œrednia:;
0.9;55.05;61.64;54.77;57.75;54.41;54;54.98;50.12;49.78;51.55;59.63;51.55;=ŒREDNIA(B117:M117);
0.8;79.91;81.99;72.51;80.45;85.12;67.26;84.28;74.76;79.61;79.47;79.49;72.03;=ŒREDNIA(B118:M118);
0.7;111.56;120.91;107.19;115.47;112.56;112.45;116.6;112.75;114.22;109.69;115.02;98.11;=ŒREDNIA(B119:M119);
0.6;138.3;139.75;128.85;133.65;145.81;140.86;138.11;130.88;134.33;143.77;142.27;143.6;=ŒREDNIA(B120:M120);
0.5;134.15;130.34;130.51;135.57;130.29;138.9;125.48;132.49;128.57;125.69;123.71;115.54;=ŒREDNIA(B121:M121);
0.4;23.99;20.87;21.22;17.94;18.59;22.71;23.31;23.89;21.65;21.56;22.49;24.17;=ŒREDNIA(B122:M122);
0.3;5.01;5.2;5.14;4.75;5.32;4.94;5.02;5.05;4.73;4.77;4.81;4.63;=ŒREDNIA(B123:M123);
0.25;200;200;200;200;200;200;200;200;200;200;200;200;=ŒREDNIA(B124:M124);
0.2;200;200;200;200;200;200;200;200;200;200;200;200;=ŒREDNIA(B125:M125);
0.15;200;200;200;200;200;200;200;200;200;200;200;200;=ŒREDNIA(B126:M126);
0.1;200;200;200;200;200;200;200;200;200;200;200;200;=ŒREDNIA(B127:M127);
0.05;194.03;194.03;190.05;196.02;198.01;200;198.01;200;200;200;200;200;=ŒREDNIA(B128:M128);
0.04;192.06;196.02;198.01;198.01;196.02;200;200;196.02;200;200;200;200;=ŒREDNIA(B129:M129);
0.03;198.01;192.06;194.06;192.06;190.07;192.06;196.02;200;200;200;200;200;=ŒREDNIA(B130:M130);
0.02;192.09;186.08;188.14;192.1;186.12;196.05;190.07;198.01;200;200;200;200;=ŒREDNIA(B131:M131);
0.01;190.09;184.33;182.43;192.11;190.16;190.13;190.12;192.07;194.08;196.03;198.01;200;=ŒREDNIA(B132:M132);
Srednia:;=ŒREDNIA(B117:B132);=ŒREDNIA(C117:C132);=ŒREDNIA(D117:D132);=ŒREDNIA(E117:E132);=ŒREDNIA(F117:F132);=ŒREDNIA(G117:G132);=ŒREDNIA(H117:H132);=ŒREDNIA(I117:I132);=ŒREDNIA(J117:J132);=ŒREDNIA(K117:K132);=ŒREDNIA(L117:L132);=ŒREDNIA(M117:M132);=ŒREDNIA(N117:N132);
Perceptron Adaline Unipolarny wariancja;
ucz/max;1;0.9;0.8;0.7;0.6;0.5;0.4;0.3;0.2;0.1;0.05;0.01;Œrednia:;
0.9;2615.17;2790.65;2913.94;2786.17;2513.26;2895.08;3379.48;2536.77;2074.87;2793.61;3582.01;2796.47;=ŒREDNIA(B136:M136);
0.8;4435.44;4638.05;4140.85;4093.43;4236.95;4024.17;4518.58;3810.46;4316.62;4239.51;4250.09;3975.65;=ŒREDNIA(B137:M137);
0.7;4696.35;5120.64;4773.99;4659.65;5218.45;5523.71;4553.92;4799.39;5653.27;5431.35;5731.9;4688.34;=ŒREDNIA(B138:M138);
0.6;4116.23;4427.73;5538.55;5235.75;4274.07;4662.9;4902.92;4864.03;5336.72;4404.9;4590.14;4677.64;=ŒREDNIA(B139:M139);
0.5;3587.91;3871.8;4123.73;3733.03;4208.23;3122.29;4726.21;3731.43;3936.11;4461.35;4734.09;5340.37;=ŒREDNIA(B140:M140);
0.4;528.77;355.613;378.092;305.736;262.982;593.026;508.614;392.678;355.048;374.266;343.41;603.921;=ŒREDNIA(B141:M141);
0.3;9.1899;11.3;7.8204;8.5675;8.6776;9.8564;10.2396;11.8275;10.2371;7.8971;10.8739;9.7131;=ŒREDNIA(B142:M142);
0.25;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B143:M143);
